,codes,airports,cities,countries,airports - cities
4547,VIJR,Jaisalmer Airport,,IN,Jaisalmer Airport - nan
4548,VIJU,Jammu Airport,Jammu,IN,Jammu Airport - Jammu
4549,VIKG,Kishangarh Airport Ajmer,Ajmer (Kishangarh),IN,Kishangarh Airport Ajmer - Ajmer (Kishangarh)
4550,VIKO,Kota Airport,Kota,IN,Kota Airport - Kota
4551,VILD,Ludhiana Airport,,IN,Ludhiana Airport - nan
4552,VILH,Leh Kushok Bakula Rimpochee Airport,Leh,IN,Leh Kushok Bakula Rimpochee Airport - Leh
4553,VILK,Chaudhary Charan Singh International Airport,Lucknow,IN,Chaudhary Charan Singh International Airport - Lucknow
4554,VIPK,Pathankot Airport,Pathankot,IN,Pathankot Airport - Pathankot
4555,VIPT,Pantnagar Airport,Pantnagar,IN,Pantnagar Airport - Pantnagar
4556,VISA,Sirsa Air Force Station,,IN,Sirsa Air Force Station - nan
4557,VISR,Sheikh ul Alam International Airport,Srinagar,IN,Sheikh ul Alam International Airport - Srinagar
4558,VIUX,Udhampur Air Force Station,,IN,Udhampur Air Force Station - nan
4559,VLLB,Luang Phabang International Airport,Luang Phabang,LA,Luang Phabang International Airport - Luang Phabang
4560,VLPS,Pakse International Airport,Pakse,LA,Pakse International Airport - Pakse
4561,VLSK,Savannakhet Airport,,LA,Savannakhet Airport - nan
4562,VLSN,Sam Neua Airport,,LA,Sam Neua Airport - nan
4563,VLVT,Wattay International Airport,Vientiane,LA,Wattay International Airport - Vientiane
4564,VMMC,Macau International Airport,Freguesia de Nossa Senhora do Carmo (Taipa),MO,Macau International Airport - Freguesia de Nossa Senhora do Carmo (Taipa)
4565,VN-0001,Dong Hoi Airport,Dong Hoi,VN,Dong Hoi Airport - Dong Hoi
4566,VN-KON,Kontum Airport,Kontum,VN,Kontum Airport - Kontum
4567,VNBW,Gautam Buddha International Airport,Siddharthanagar (Bhairahawa),NP,Gautam Buddha International Airport - Siddharthanagar (Bhairahawa)
4568,VNJP,Janakpur Airport,Janakpur,NP,Janakpur Airport - Janakpur
4569,VNKT,Tribhuvan International Airport,Kathmandu,NP,Tribhuvan International Airport - Kathmandu
4570,VNNG,Nepalgunj Airport,Nepalgunj,NP,Nepalgunj Airport - Nepalgunj
4571,VNPK,Pokhara Airport,Pokhara,NP,Pokhara Airport - Pokhara
4572,VNTJ,Taplejung Airport,Taplejung,NP,Taplejung Airport - Taplejung
4573,VNVT,Biratnagar Airport,Biratnagar,NP,Biratnagar Airport - Biratnagar
4574,VO55,Murod Kond Airport,Latur,IN,Murod Kond Airport - Latur
4575,VO94,Campbell Bay Airport / INS Baaz,Campbell Bay,IN,Campbell Bay Airport / INS Baaz - Campbell Bay
4576,VOAT,Agatti Airport,Agatti,IN,Agatti Airport - Agatti
4577,VOBG,HAL Airport,Bangalore,IN,HAL Airport - Bangalore
4578,VOBI,Bellary Airport,Bellary,IN,Bellary Airport - Bellary
4579,VOBL,Kempegowda International Airport,Bangalore,IN,Kempegowda International Airport - Bangalore
4580,VOBR,Bidar Airport / Bidar Air Force Station,Bidar,IN,Bidar Airport / Bidar Air Force Station - Bidar
4581,VOBZ,Vijayawada Airport,Gannavaram,IN,Vijayawada Airport - Gannavaram
4582,VOCB,Coimbatore International Airport,Coimbatore,IN,Coimbatore International Airport - Coimbatore
4583,VOCI,Cochin International Airport,Kochi,IN,Cochin International Airport - Kochi
4584,VOCL,Calicut International Airport,Calicut,IN,Calicut International Airport - Calicut
4585,VOCP,Kadapa Airport,Kadapa,IN,Kadapa Airport - Kadapa
4586,VOCX,Car Nicobar Air Force Base,IAF Camp,IN,Car Nicobar Air Force Base - IAF Camp
4587,VODG,Dundigul Air Force Academy,Hyderabad,IN,Dundigul Air Force Academy - Hyderabad
4588,VOHS,Rajiv Gandhi International Airport,Hyderabad,IN,Rajiv Gandhi International Airport - Hyderabad
4589,VOHY,Begumpet Airport,Hyderabad,IN,Begumpet Airport - Hyderabad
4590,VOKN,Kannur International Airport,Kannur,IN,Kannur International Airport - Kannur
4591,VOKU,Kurnool Airport,Orvakal,IN,Kurnool Airport - Orvakal
4592,VOMD,Madurai Airport,Madurai,IN,Madurai Airport - Madurai
4593,VOML,Mangalore International Airport,Mangalore,IN,Mangalore International Airport - Mangalore
4594,VOMM,Chennai International Airport,Chennai,IN,Chennai International Airport - Chennai
4595,VOPB,Veer Savarkar International Airport / INS Utkrosh,Port Blair,IN,Veer Savarkar International Airport / INS Utkrosh - Port Blair
4596,VOPC,Pondicherry Airport,Puducherry (Pondicherry),IN,Pondicherry Airport - Puducherry (Pondicherry)
4597,VOPN,Sri Sathya Sai Airport,Puttaparthi,IN,Sri Sathya Sai Airport - Puttaparthi
4598,VORY,Rajahmundry Airport,Rajahmundry,IN,Rajahmundry Airport - Rajahmundry
4599,VOSM,Salem Airport,Salem,IN,Salem Airport - Salem
4600,VOTR,Tiruchirappalli International Airport,Tiruchirappalli,IN,Tiruchirappalli International Airport - Tiruchirappalli
4601,VOTV,Trivandrum International Airport,Thiruvananthapuram,IN,Trivandrum International Airport - Thiruvananthapuram
4602,VQGP,Gelephu Airport,Gelephu,BT,Gelephu Airport - Gelephu
4603,VQPR,Paro International Airport,Paro,BT,Paro International Airport - Paro
4604,VRDA,Maafaru International Airport,Noonu Atoll,MV,Maafaru International Airport - Noonu Atoll
4605,VRMG,Gan International Airport,Gan,MV,Gan International Airport - Gan
4606,VRMH,Hanimaadhoo Airport,Haa Dhaalu Atoll,MV,Hanimaadhoo Airport - Haa Dhaalu Atoll
4607,VRMK,Kadhdhoo Airport,Kadhdhoo,MV,Kadhdhoo Airport - Kadhdhoo
4608,VRMM,Malé International Airport,Malé,MV,Malé International Airport - Malé
4609,VRMT,Kaadedhdhoo Airport,Huvadhu Atoll,MV,Kaadedhdhoo Airport - Huvadhu Atoll
4610,VRMV,Villa Airport,Maamigili,MV,Villa Airport - Maamigili
4611,VTBD,Don Mueang International Airport,Bangkok,TH,Don Mueang International Airport - Bangkok
4612,VTBK,Kamphaeng Saen Airport,Nakhon Pathom,TH,Kamphaeng Saen Airport - Nakhon Pathom
4613,VTBL,Khok Kathiam Airport,,TH,Khok Kathiam Airport - nan
4614,VTBO,Trat Airport,Laem Ngop,TH,Trat Airport - Laem Ngop
4615,VTBS,Suvarnabhumi Airport,Bangkok,TH,Suvarnabhumi Airport - Bangkok
4616,VTBU,U-Tapao International Airport,Rayong,TH,U-Tapao International Airport - Rayong
4617,VTCC,Chiang Mai International Airport,Chiang Mai,TH,Chiang Mai International Airport - Chiang Mai
4618,VTCH,Mae Hong Son Airport,,TH,Mae Hong Son Airport - nan
4619,VTCL,Lampang Airport,,TH,Lampang Airport - nan
4620,VTCN,Nan Airport,,TH,Nan Airport - nan
4621,VTCP,Phrae Airport,,TH,Phrae Airport - nan
4622,VTCT,Mae Fah Luang - Chiang Rai International Airport,Chiang Rai,TH,Mae Fah Luang - Chiang Rai International Airport - Chiang Rai
4623,VTPB,Phetchabun Airport,,TH,Phetchabun Airport - nan
4624,VTPH,Hua Hin Airport,Hua Hin,TH,Hua Hin Airport - Hua Hin
4625,VTPI,Takhli Airport,,TH,Takhli Airport - nan
4626,VTPM,Mae Sot Airport,,TH,Mae Sot Airport - nan
4627,VTPO,Sukhothai Airport,,TH,Sukhothai Airport - nan
4628,VTPP,Phitsanulok Airport,,TH,Phitsanulok Airport - nan
4629,VTPT,Tak Airport,,TH,Tak Airport - nan
4630,VTSB,Surat Thani Airport,Surat Thani,TH,Surat Thani Airport - Surat Thani
4631,VTSC,Narathiwat Airport,,TH,Narathiwat Airport - nan
4632,VTSE,Chumphon Airport,,TH,Chumphon Airport - nan
4633,VTSF,Nakhon Si Thammarat Airport,Nakhon Si Thammarat,TH,Nakhon Si Thammarat Airport - Nakhon Si Thammarat
4634,VTSG,Krabi Airport,Krabi,TH,Krabi Airport - Krabi
4635,VTSH,Songkhla Airport,,TH,Songkhla Airport - nan
4636,VTSK,Pattani Airport,,TH,Pattani Airport - nan
4637,VTSM,Samui Airport,Na Thon (Ko Samui Island),TH,Samui Airport - Na Thon (Ko Samui Island)
4638,VTSN,Cha Eian Airport,Nakhon Si Thammarat,TH,Cha Eian Airport - Nakhon Si Thammarat
4639,VTSP,Phuket International Airport,Phuket,TH,Phuket International Airport - Phuket
4640,VTSR,Ranong Airport,,TH,Ranong Airport - nan
4641,VTSS,Hat Yai International Airport,Hat Yai,TH,Hat Yai International Airport - Hat Yai
4642,VTST,Trang Airport,Trang,TH,Trang Airport - Trang
4643,VTUD,Udon Thani Airport,Udon Thani,TH,Udon Thani Airport - Udon Thani
4644,VTUI,Sakon Nakhon Airport,,TH,Sakon Nakhon Airport - nan
4645,VTUJ,Surin Airport,Surin,TH,Surin Airport - Surin
4646,VTUK,Khon Kaen Airport,Khon Kaen,TH,Khon Kaen Airport - Khon Kaen
4647,VTUL,Loei Airport,,TH,Loei Airport - nan
4648,VTUO,Buri Ram Airport,,TH,Buri Ram Airport - nan
4649,VTUQ,Nakhon Ratchasima Airport,Chaloem Phra Kiat,TH,Nakhon Ratchasima Airport - Chaloem Phra Kiat
4650,VTUU,Ubon Ratchathani Airport,Ubon Ratchathani,TH,Ubon Ratchathani Airport - Ubon Ratchathani
4651,VTUV,Roi Et Airport,,TH,Roi Et Airport - nan
4652,VTUW,Nakhon Phanom Airport,,TH,Nakhon Phanom Airport - nan
4653,VVBM,Buon Ma Thuot Airport,Buon Ma Thuot,VN,Buon Ma Thuot Airport - Buon Ma Thuot
4654,VVCI,Cat Bi International Airport,Haiphong,VN,Cat Bi International Airport - Haiphong
4655,VVCM,Cà Mau Airport,Ca Mau City,VN,Cà Mau Airport - Ca Mau City
4656,VVCR,Cam Ranh International Airport / Cam Ranh Air Base,Cam Ranh,VN,Cam Ranh International Airport / Cam Ranh Air Base - Cam Ranh
4657,VVCS,Con Dao Airport,Con Dao,VN,Con Dao Airport - Con Dao
4658,VVCT,Can Tho International Airport,Can Tho,VN,Can Tho International Airport - Can Tho
4659,VVDB,Dien Bien Phu Airport,Dien Bien Phu,VN,Dien Bien Phu Airport - Dien Bien Phu
4660,VVDL,Lien Khuong Airport,Da Lat,VN,Lien Khuong Airport - Da Lat
4661,VVDN,Da Nang International Airport,Da Nang,VN,Da Nang International Airport - Da Nang
4662,VVGL,Gia Lam Air Base,Hanoi,VN,Gia Lam Air Base - Hanoi
4663,VVNB,Noi Bai International Airport,"Soc Son, Hanoi",VN,"Noi Bai International Airport - Soc Son, Hanoi"
4664,VVPB,Phu Bai International Airport,Huế,VN,Phu Bai International Airport - Huế
4665,VVPC,Phu Cat Airport,Quy Nohn,VN,Phu Cat Airport - Quy Nohn
4666,VVPK,Pleiku Airport,Pleiku,VN,Pleiku Airport - Pleiku
4667,VVPQ,Phu Quoc International Airport,Phu Quoc Island,VN,Phu Quoc International Airport - Phu Quoc Island
4668,VVRG,Rach Gia Airport,Rach Gia,VN,Rach Gia Airport - Rach Gia
4669,VVTH,Dong Tac Airport,Tuy Hoa,VN,Dong Tac Airport - Tuy Hoa
4670,VVTS,Tan Son Nhat International Airport,Ho Chi Minh City,VN,Tan Son Nhat International Airport - Ho Chi Minh City
4671,VVVD,Van Don International Airport,Van Don,VN,Van Don International Airport - Van Don
4672,VVVH,Vinh Airport,Vinh,VN,Vinh Airport - Vinh
4673,VYDW,Dawei Airport,Dawei,MM,Dawei Airport - Dawei
4674,VYEL,Nay Pyi Taw International Airport,Pyinmana,MM,Nay Pyi Taw International Airport - Pyinmana
4675,VYHH,Heho Airport,Heho,MM,Heho Airport - Heho
4676,VYKG,Kengtung Airport,Kengtung,MM,Kengtung Airport - Kengtung
4677,VYKP,Kyaukpyu Airport,Kyaukpyu,MM,Kyaukpyu Airport - Kyaukpyu
4678,VYKT,Kawthoung Airport,Kawthoung,MM,Kawthoung Airport - Kawthoung
4679,VYLK,Loikaw Airport,Loikaw,MM,Loikaw Airport - Loikaw
4680,VYLS,Lashio Airport,Lashio,MM,Lashio Airport - Lashio
4681,VYMD,Mandalay International Airport,Mandalay,MM,Mandalay International Airport - Mandalay
4682,VYME,Myeik Airport,Mkeik,MM,Myeik Airport - Mkeik
4683,VYMK,Myitkyina Airport,Myitkyina,MM,Myitkyina Airport - Myitkyina
4684,VYML,Meiktila Air Base,Meiktila,MM,Meiktila Air Base - Meiktila
4685,VYMO,Momeik Airport,,MM,Momeik Airport - nan
4686,VYMS,Mong Hsat Airport,Mong Hsat,MM,Mong Hsat Airport - Mong Hsat
4687,VYNP,Nampong Air Base,Myitkyina,MM,Nampong Air Base - Myitkyina
4688,VYNS,Namsang Airport,Namsang,MM,Namsang Airport - Namsang
4689,VYPT,Putao Airport,Putao,MM,Putao Airport - Putao
4690,VYST,Shante Air Base,Meiktila,MM,Shante Air Base - Meiktila
4691,VYSW,Sittwe Airport,Sittwe,MM,Sittwe Airport - Sittwe
4692,VYTD,Thandwe Airport,Thandwe,MM,Thandwe Airport - Thandwe
4693,VYTL,Tachileik Airport,Tachileik,MM,Tachileik Airport - Tachileik
4694,VYYY,Yangon International Airport,Yangon,MM,Yangon International Airport - Yangon
4695,WAAA,Hasanuddin International Airport,Ujung Pandang-Celebes Island,ID,Hasanuddin International Airport - Ujung Pandang-Celebes Island
4696,WABB,Frans Kaisiepo Airport,Biak-Supiori Island,ID,Frans Kaisiepo Airport - Biak-Supiori Island
4697,WABI,Nabire Airport,Nabire-Papua Island,ID,Nabire Airport - Nabire-Papua Island
4698,WABP,Mozes Kilangin Airport,Timika-Papua Island,ID,Mozes Kilangin Airport - Timika-Papua Island
4699,WADD,Ngurah Rai (Bali) International Airport,Denpasar-Bali Island,ID,Ngurah Rai (Bali) International Airport - Denpasar-Bali Island
4700,WADL,Lombok International Airport,Mataram,ID,Lombok International Airport - Mataram
4701,WAEW,Pitu Airport,Gotalalamo-Morotai Island,ID,Pitu Airport - Gotalalamo-Morotai Island
4702,WAFB,Toraja Airport,Toraja,ID,Toraja Airport - Toraja
4703,WAFF,Mutiara - SIS Al-Jufrie Airport,Palu,ID,Mutiara - SIS Al-Jufrie Airport - Palu
4704,WAFP,Kasiguncu Airport,Poso-Celebes Island,ID,Kasiguncu Airport - Poso-Celebes Island
4705,WAFW,Syukuran Aminuddin Amir Airport,Luwok,ID,Syukuran Aminuddin Amir Airport - Luwok
4706,WAHI,Yogyakarta International Airport,Yogyakarta,ID,Yogyakarta International Airport - Yogyakarta
4707,WAHL,Tunggul Wulung Airport,Cilacap-Java Island,ID,Tunggul Wulung Airport - Cilacap-Java Island
4708,WAJJ,Sentani International Airport,Jayapura-Papua Island,ID,Sentani International Airport - Jayapura-Papua Island
4709,WAJO,Oksibil Airport,Oksibil-Papua Island,ID,Oksibil Airport - Oksibil-Papua Island
4710,WAKK,Mopah International Airport,Merauke,ID,Mopah International Airport - Merauke
4711,WALK,Kalimarau Airport,Tanjung Redeb - Borneo Island,ID,Kalimarau Airport - Tanjung Redeb - Borneo Island
4712,WALR,Juwata Airport,Tarakan Island,ID,Juwata Airport - Tarakan Island
4713,WALS,Aji Pangeran Tumenggung Pranoto International Airport,Samarinda,ID,Aji Pangeran Tumenggung Pranoto International Airport - Samarinda
4714,WAMH,Naha Airport,Tahuna-Sangihe Island,ID,Naha Airport - Tahuna-Sangihe Island
4715,WAMM,Sam Ratulangi Airport,Manado,ID,Sam Ratulangi Airport - Manado
4716,WAMT,Sultan Babullah Airport,Sango-Ternate Island,ID,Sultan Babullah Airport - Sango-Ternate Island
4717,WAON,Warukin Airport,Tanta-Tabalong-Borneo Island,ID,Warukin Airport - Tanta-Tabalong-Borneo Island
4718,WAPF,Karel Sadsuitubun Airport,Langgur,ID,Karel Sadsuitubun Airport - Langgur
4719,WAPL,Dumatumbun Airport,Langgur-Seram Island,ID,Dumatumbun Airport - Langgur-Seram Island
4720,WAPP,"Pattimura Airport, Ambon",Ambon,ID,"Pattimura Airport, Ambon - Ambon"
4721,WARJ,Adisutjipto International Airport,Yogyakarta-Java Island,ID,Adisutjipto International Airport - Yogyakarta-Java Island
4722,WARR,Juanda International Airport,Surabaya,ID,Juanda International Airport - Surabaya
4723,WASF,Fakfak Airport,Fakfak-Papua Island,ID,Fakfak Airport - Fakfak-Papua Island
4724,WASK,Kaimana Airport,Kaimana-Papua Island,ID,Kaimana Airport - Kaimana-Papua Island
4725,WASO,Babo Airport,Babo-Papua Island,ID,Babo Airport - Babo-Papua Island
4726,WASR,Rendani Airport,Manokwari-Papua Island,ID,Rendani Airport - Manokwari-Papua Island
4727,WAVV,Wamena Airport,"Wamena, Jayawijaya Regency, Papua Province",ID,"Wamena Airport - Wamena, Jayawijaya Regency, Papua Province"
4728,WAWD,Matahora Airport,Wangi-wangi Island,ID,Matahora Airport - Wangi-wangi Island
4729,WAXX,Domine Eduard Osok Airport,Sorong-Papua Island,ID,Domine Eduard Osok Airport - Sorong-Papua Island
4730,WBGB,Bintulu Airport,Bintulu,MY,Bintulu Airport - Bintulu
4731,WBGG,Kuching International Airport,Kuching,MY,Kuching International Airport - Kuching
4732,WBGJ,Limbang Airport,Limbang,MY,Limbang Airport - Limbang
4733,WBGK,Mukah Airport,Mukah,MY,Mukah Airport - Mukah
4734,WBGM,Marudi Airport,Marudi,MY,Marudi Airport - Marudi
4735,WBGR,Miri Airport,Miri,MY,Miri Airport - Miri
4736,WBGS,Sibu Airport,Sibu,MY,Sibu Airport - Sibu
4737,WBGZ,Bario Airport,Bario,MY,Bario Airport - Bario
4738,WBKD,Lahad Datu Airport,Lahad Datu,MY,Lahad Datu Airport - Lahad Datu
4739,WBKK,Kota Kinabalu International Airport,Kota Kinabalu,MY,Kota Kinabalu International Airport - Kota Kinabalu
4740,WBKL,Labuan Airport,Labuan,MY,Labuan Airport - Labuan
4741,WBKS,Sandakan Airport,Sandakan,MY,Sandakan Airport - Sandakan
4742,WBKW,Tawau Airport,Tawau,MY,Tawau Airport - Tawau
4743,WBMU,Mulu Airport,Mulu,MY,Mulu Airport - Mulu
4744,WBSB,Brunei International Airport,Bandar Seri Begawan,BN,Brunei International Airport - Bandar Seri Begawan
4745,WIBB,Sultan Syarif Kasim Ii (Simpang Tiga) Airport,Pekanbaru-Sumatra Island,ID,Sultan Syarif Kasim Ii (Simpang Tiga) Airport - Pekanbaru-Sumatra Island
4746,WIBD,Pinang Kampai Airport,Dumai,ID,Pinang Kampai Airport - Dumai
4747,WIBJ,Japura Airport,Rengat-Sumatra Island,ID,Japura Airport - Rengat-Sumatra Island
4748,WICA,Kertajati International Airport,Kertajati,ID,Kertajati International Airport - Kertajati
4749,WICC,Husein Sastranegara International Airport,Bandung-Java Island,ID,Husein Sastranegara International Airport - Bandung-Java Island
4750,WIDD,Hang Nadim International Airport,Batam Island,ID,Hang Nadim International Airport - Batam Island
4751,WIHH,Halim Perdanakusuma International Airport,Jakarta,ID,Halim Perdanakusuma International Airport - Jakarta
4752,WIII,Soekarno-Hatta International Airport,Jakarta,ID,Soekarno-Hatta International Airport - Jakarta
4753,WILL,Radin Inten II International Airport,Bandar Lampung-Sumatra Island,ID,Radin Inten II International Airport - Bandar Lampung-Sumatra Island
4754,WIMB,Binaka Airport,Gunungsitoli,ID,Binaka Airport - Gunungsitoli
4755,WIME,Aek Godang Airport,Padang Sidempuan,ID,Aek Godang Airport - Padang Sidempuan
4756,WIMG,Tabing Airport,Padang,ID,Tabing Airport - Padang
4757,WIMK,Soewondo Air Force Base,Medan,ID,Soewondo Air Force Base - Medan
4758,WIMM,Kualanamu International Airport,Bandara Kuala Namu,ID,Kualanamu International Airport - Bandara Kuala Namu
4759,WIMS,Dr. Ferdinand Lumban Tobing Airport,Sibolga (Pinangsori),ID,Dr. Ferdinand Lumban Tobing Airport - Sibolga (Pinangsori)
4760,WIOG,Nanga Pinoh Airport,Nanga Pinoh-Borneo Island,ID,Nanga Pinoh Airport - Nanga Pinoh-Borneo Island
4761,WIOK,Rahadi Osman Airport,Ketapang,ID,Rahadi Osman Airport - Ketapang
4762,WION,Ranai Airport,Ranai-Natuna Besar Island,ID,Ranai Airport - Ranai-Natuna Besar Island
4763,WIOO,Supadio Airport,Pontianak-Borneo Island,ID,Supadio Airport - Pontianak-Borneo Island
4764,WIOP,Pangsuma Airport,Putussibau-Borneo Island,ID,Pangsuma Airport - Putussibau-Borneo Island
4765,WIOS,Sintang(Susilo) Airport,Sintang-Borneo Island,ID,Sintang(Susilo) Airport - Sintang-Borneo Island
4766,WIPL,Fatmawati Soekarno Airport,Bengkulu,ID,Fatmawati Soekarno Airport - Bengkulu
4767,WIPP,Sultan Mahmud Badaruddin II Airport,Palembang,ID,Sultan Mahmud Badaruddin II Airport - Palembang
4768,WIPQ,Pendopo Airport,Talang Gudang-Sumatra Island,ID,Pendopo Airport - Talang Gudang-Sumatra Island
4769,WIPT,Minangkabau International Airport,Padang (Katapiang),ID,Minangkabau International Airport - Padang (Katapiang)
4770,WITC,Cut Nyak Dhien Airport,Kuala Pesisir,ID,Cut Nyak Dhien Airport - Kuala Pesisir
4771,WITK,Rembele Airport,Takengon,ID,Rembele Airport - Takengon
4772,WITL,Lhok Sukon Airport,Lhok Sukon-Sumatra Island,ID,Lhok Sukon Airport - Lhok Sukon-Sumatra Island
4773,WITT,Sultan Iskandar Muda International Airport,Banda Aceh,ID,Sultan Iskandar Muda International Airport - Banda Aceh
4774,WMAP,Kluang Airport,Kluang,MY,Kluang Airport - Kluang
4775,WMBT,Pulau Tioman Airport,Kampung Tekek,MY,Pulau Tioman Airport - Kampung Tekek
4776,WMKA,Sultan Abdul Halim Airport,Alor Satar,MY,Sultan Abdul Halim Airport - Alor Satar
4777,WMKB,RMAF Butterworth Air Base,Butterworth,MY,RMAF Butterworth Air Base - Butterworth
4778,WMKC,Sultan Ismail Petra Airport,Kota Baharu,MY,Sultan Ismail Petra Airport - Kota Baharu
4779,WMKD,Kuantan Airport,Kuantan,MY,Kuantan Airport - Kuantan
4780,WMKE,Kerteh Airport,Kerteh,MY,Kerteh Airport - Kerteh
4781,WMKI,Sultan Azlan Shah Airport,Ipoh,MY,Sultan Azlan Shah Airport - Ipoh
4782,WMKJ,Senai International Airport,Johor Bahru,MY,Senai International Airport - Johor Bahru
4783,WMKK,Kuala Lumpur International Airport,Kuala Lumpur,MY,Kuala Lumpur International Airport - Kuala Lumpur
4784,WMKL,Langkawi International Airport,Langkawi,MY,Langkawi International Airport - Langkawi
4785,WMKM,Malacca Airport,Malacca,MY,Malacca Airport - Malacca
4786,WMKN,Sultan Mahmud Airport,Kuala Terengganu,MY,Sultan Mahmud Airport - Kuala Terengganu
4787,WMKP,Penang International Airport,Penang,MY,Penang International Airport - Penang
4788,WMSA,Sultan Abdul Aziz Shah International Airport,Subang,MY,Sultan Abdul Aziz Shah International Airport - Subang
4789,WPDB,Suai Airport,Suai,TL,Suai Airport - Suai
4790,WPDL,Presidente Nicolau Lobato International Airport,Dili,TL,Presidente Nicolau Lobato International Airport - Dili
4791,WPEC,Cakung Airport,Baucau,TL,Cakung Airport - Baucau
4792,WPOC,Rota Do Sândalo Oecusse Airport,Oecussi-Ambeno,TL,Rota Do Sândalo Oecusse Airport - Oecussi-Ambeno
4793,WSAC,Changi Air Base (East),Singapore,SG,Changi Air Base (East) - Singapore
4794,WSAG,Sembawang Air Base,Sembawang,SG,Sembawang Air Base - Sembawang
4795,WSAP,Paya Lebar Air Base,Paya Lebar,SG,Paya Lebar Air Base - Paya Lebar
4796,WSAT,Tengah Air Base,Western Water Catchment,SG,Tengah Air Base - Western Water Catchment
4797,WSSL,Seletar Airport,Seletar,SG,Seletar Airport - Seletar
4798,WSSS,Singapore Changi Airport,Singapore,SG,Singapore Changi Airport - Singapore
4799,WUZ,Wuzhou Xijiang Airport,Tangbu,CN,Wuzhou Xijiang Airport - Tangbu
4800,XK-0001,KFOR Base Airfield,Camp Bondsteel,XK,KFOR Base Airfield - Camp Bondsteel
4801,XLLL,Soltsy-2 Air Base,Soltsy,RU,Soltsy-2 Air Base - Soltsy
4802,XLMV,Severomorsk-3 Naval Air Base,Severomorsk,RU,Severomorsk-3 Naval Air Base - Severomorsk
4803,XLWF,Fedotovo Naval Air Base,Kipelovo,RU,Fedotovo Naval Air Base - Kipelovo
